index,date,time,price,volume
542,2022-09-19,14:10:00,79.13,0.0
543,2022-09-19,14:20:00,79.13,0.0
544,2022-09-19,14:30:00,79.13,0.0
545,2022-09-19,14:40:00,79.13,0.0
546,2022-09-19,14:50:00,79.13,0.0
547,2022-09-19,15:00:00,79.13,0.0
548,2022-09-19,15:10:00,79.13,0.0
549,2022-09-19,15:20:00,79.13,0.0
550,2022-09-19,15:30:00,79.13,0.0
551,2022-09-19,15:40:00,79.13,0.0
552,2022-09-19,15:50:00,79.13,0.0
553,2022-09-19,16:00:00,79.13,0.0
604,2022-09-20,09:30:00,81.87,0.0
605,2022-09-20,09:40:00,81.87,0.0
606,2022-09-20,09:50:00,81.87,0.0
607,2022-09-20,10:00:00,81.87,0.0
608,2022-09-20,10:10:00,81.87,0.0
609,2022-09-20,10:20:00,81.87,0.0
610,2022-09-20,10:30:00,81.87,0.0
611,2022-09-20,10:40:00,81.87,0.0
612,2022-09-20,10:50:00,81.87,0.0
613,2022-09-20,11:00:00,81.87,0.0
614,2022-09-20,11:10:00,81.87,0.0
615,2022-09-20,11:20:00,81.87,0.0
616,2022-09-20,11:30:00,81.87,0.0
617,2022-09-20,11:40:00,81.87,0.0
618,2022-09-20,11:50:00,81.87,0.0
619,2022-09-20,12:00:00,81.87,0.0
620,2022-09-20,12:10:00,81.87,0.0
621,2022-09-20,12:20:00,81.87,0.0
622,2022-09-20,12:30:00,81.87,0.0
623,2022-09-20,12:40:00,81.87,0.0
624,2022-09-20,12:50:00,81.87,0.0
625,2022-09-20,13:00:00,81.87,0.0
626,2022-09-20,13:10:00,81.87,0.0
627,2022-09-20,13:20:00,81.87,0.0
628,2022-09-20,13:30:00,81.87,0.0
629,2022-09-20,13:40:00,81.87,0.0
630,2022-09-20,13:50:00,81.87,0.0
631,2022-09-20,14:00:00,81.87,0.0
632,2022-09-20,14:10:00,81.87,0.0
633,2022-09-20,14:20:00,81.02,1.0
634,2022-09-20,14:30:00,81.02,0.0
635,2022-09-20,14:40:00,80.44,1.0
636,2022-09-20,14:50:00,80.44,0.0
637,2022-09-20,15:00:00,79.92,1.0
638,2022-09-20,15:10:00,79.92,0.0
639,2022-09-20,15:20:00,80.12,1.0
640,2022-09-20,15:30:00,80.12,0.0
641,2022-09-20,15:40:00,80.12,0.0
642,2022-09-20,15:50:00,80.12,0.0
643,2022-09-20,16:00:00,80.12,0.0
698,2022-09-21,09:30:00,81.34,0.0
699,2022-09-21,09:40:00,81.34,0.0
700,2022-09-21,09:50:00,82.14,1.0
701,2022-09-21,10:00:00,82.14,0.0
702,2022-09-21,10:10:00,82.14,0.0
703,2022-09-21,10:20:00,82.14,0.0
704,2022-09-21,10:30:00,82.14,0.0
705,2022-09-21,10:40:00,82.14,0.0
706,2022-09-21,10:50:00,82.14,0.0
707,2022-09-21,11:00:00,82.14,0.0
708,2022-09-21,11:10:00,82.14,0.0
709,2022-09-21,11:20:00,82.14,0.0
710,2022-09-21,11:30:00,82.14,0.0
711,2022-09-21,11:40:00,82.14,0.0
712,2022-09-21,11:50:00,82.14,0.0
713,2022-09-21,12:00:00,82.14,0.0
714,2022-09-21,12:10:00,82.14,0.0
715,2022-09-21,12:20:00,82.14,0.0
716,2022-09-21,12:30:00,82.14,0.0
717,2022-09-21,12:40:00,82.14,0.0
718,2022-09-21,12:50:00,82.14,0.0
719,2022-09-21,13:00:00,82.14,0.0
720,2022-09-21,13:10:00,82.14,0.0
721,2022-09-21,13:20:00,82.14,0.0
722,2022-09-21,13:30:00,82.14,0.0
