nterm,date,time,price,volume,prev_day_volume,total_daily_volume_prev_day,yesterday_close,flat_delta_px_prev_bar,percent_delta_px_prev_bar,flat_delta_px_close,percent_delta_px_close
61,2022-08-31,13:00:00,87.91,8.0,10.0,598.0,88.82,0.0499999999999971,0.056908718415658,-0.9099999999999966,-1.0245440216167492
62,2022-08-31,13:10:00,87.95,1.0,13.0,598.0,88.82,0.0400000000000062,0.0455010806506725,-0.8699999999999903,-0.9795091195676542
63,2022-08-31,13:20:00,87.95,0.0,12.0,598.0,88.82,0.0,0.0,-0.8699999999999903,-0.9795091195676542
64,2022-08-31,13:30:00,87.35,7.0,16.0,598.0,88.82,-0.6000000000000085,-0.6822057987492991,-1.4699999999999989,-1.6550326503039845
65,2022-08-31,13:40:00,87.44,4.0,4.0,598.0,88.82,0.0900000000000034,0.1030337721808854,-1.3799999999999957,-1.5537041206935325
66,2022-08-31,13:50:00,87.37,3.0,32.0,598.0,88.82,-0.0699999999999931,-0.0800548947849876,-1.4499999999999886,-1.632515199279429
67,2022-08-31,14:00:00,87.16,6.0,6.0,598.0,88.82,-0.2100000000000079,-0.2403571019800938,-1.6599999999999966,-1.86894843503715
68,2022-08-31,14:10:00,87.13,5.0,18.0,598.0,88.82,-0.0300000000000011,-0.034419458467188,-1.6899999999999975,-1.902724611573968
69,2022-08-31,14:20:00,86.63,65.0,61.0,598.0,88.82,-0.5,-0.5738551589578791,-2.1899999999999977,-2.465660887187568
70,2022-08-31,14:30:00,86.58,11.0,5.0,598.0,88.82,-0.0499999999999971,-0.0577167263072805,-2.239999999999995,-2.521954514748925
71,2022-08-31,14:40:00,86.27,6.0,1.0,598.0,88.82,-0.3100000000000023,-0.3580503580503607,-2.549999999999997,-2.87097500562936
72,2022-08-31,14:50:00,86.26,13.0,5.0,598.0,88.82,-0.0099999999999909,-0.0115915150110013,-2.559999999999988,-2.8822337311416217
73,2022-08-31,15:00:00,86.26,0.0,1.0,598.0,88.82,0.0,0.0,-2.559999999999988,-2.8822337311416217
74,2022-08-31,15:10:00,86.54,1.0,3.0,598.0,88.82,0.2800000000000011,0.3246000463714364,-2.279999999999987,-2.566989416798004
75,2022-08-31,15:20:00,86.14,3.0,5.0,598.0,88.82,-0.4000000000000057,-0.4622140050843605,-2.6799999999999926,-3.017338437288891
76,2022-08-31,15:30:00,86.14,0.0,1.0,598.0,88.82,0.0,0.0,-2.6799999999999926,-3.017338437288891
77,2022-08-31,15:40:00,86.34,1.0,1.0,598.0,88.82,0.2000000000000028,0.2321801718133304,-2.4799999999999898,-2.792163927043448
78,2022-08-31,15:50:00,86.3,9.0,1.0,598.0,88.82,-0.0400000000000062,-0.0463284688441119,-2.519999999999996,-2.8371988290925425
79,2022-08-31,16:00:00,86.19,6.0,0.0,598.0,88.82,-0.1099999999999994,-0.1274623406720735,-2.6299999999999955,-2.9610448097275337
80,2022-09-01,09:30:00,84.92,89.0,19.0,350.0,86.19,-1.269999999999996,-1.4734888038055414,-1.269999999999996,-1.4734888038055414
81,2022-09-01,09:40:00,84.81,37.0,14.0,350.0,86.19,-0.1099999999999994,-0.129533678756476,-1.3799999999999957,-1.601113818308383
82,2022-09-01,09:50:00,84.49,75.0,7.0,350.0,86.19,-0.3200000000000074,-0.3773139959910475,-1.7000000000000028,-1.9723865877712063
83,2022-09-01,10:00:00,84.93,16.0,12.0,350.0,86.19,0.4400000000000119,0.5207716889572872,-1.259999999999991,-1.4618865297598225
84,2022-09-01,10:10:00,84.85,21.0,11.0,350.0,86.19,-0.0800000000000125,-0.0941952195926204,-1.3400000000000034,-1.5547047221255406
85,2022-09-01,10:20:00,85.64,17.0,6.0,350.0,86.19,0.7900000000000063,0.9310548025928184,-0.5499999999999972,-0.6381250725142096
86,2022-09-01,10:30:00,85.13,6.0,21.0,350.0,86.19,-0.5100000000000051,-0.5955161139654427,-1.0600000000000025,-1.2298410488455764
87,2022-09-01,10:40:00,84.86,8.0,5.0,350.0,86.19,-0.269999999999996,-0.3171619875484506,-1.3299999999999983,-1.5431024480798217
88,2022-09-01,10:50:00,84.68,9.0,8.0,350.0,86.19,-0.1799999999999926,-0.2121140702333168,-1.509999999999991,-1.7519433809026466
89,2022-09-01,11:00:00,84.61,7.0,14.0,350.0,86.19,-0.0700000000000073,-0.0826641473783743,-1.5799999999999983,-1.8331592992226453
90,2022-09-01,11:10:00,84.67,3.0,5.0,350.0,86.19,0.0600000000000022,0.0709136035929586,-1.519999999999996,-1.7635456549483657
